Total number of records : 204401
Keysets,Count,Percent
"['password', 'reset']",42828,20.95293075865578%
"['password']",1505,0.736297767623446%
"['instal', 'user']",212,0.10371769218350203%
"['instal', 'adob']",102,0.04990190850338305%
"['instal', 'softwar']",45,0.022015547869139583%
"['instal']",528,0.2583157616645711%
"['outlook']",2994,1.4647677848934202%
"['access']",3654,1.7876624869741342%
"['right']",206,0.1007822858009501%
"['gate', 'reader']",616,0.30136838860866627%
"['gateread']",124,0.060665065239406846%
"['sap']",554,0.27103585598896285%
